Deck	Title	HP	Nemesis Icon	Keywords	Game Text	Flavor Text	Attribution	Qty	Set	Decks: 11
Rook City	Mayor Overbrook	7	The Wraith	"Elected" Official	When this card is destroyed, play the top card of the Environment deck. END PHASE Discard the top card of each Hero deck. The Villain target with the lowest HP regains (H) HP.	"They call him 'The Barber', because he's always taking a little off the top."	The Wraith, Mystery Comics Vol. 1 #329	1	Rook City Renegades	Rook City
Rook City	Media Pressure	-	-	Ongoing, Smear	After a Villain target is played, each Hero character deals themself 1 fixed psychic damage. END PHASE Each Hero discards 1 card.	"We step out and fight crime? We're publicly derided as dangers to society. We mind our own business? We're letting the city down. We can't win."	Parse, Rook City Renegades #66	1	Rook City Renegades	Rook City
Rook City	Pernicious Propaganda	-	-	Ongoing, Smear	START PHASE Discard the top card of each Hero deck. If any keywords on the discarded card match any keywords on cards in the associated Hero's hand, they discard 1 of those cards as well. END PHASE Each Hero character deals themself 1 fixed psychic damage.	"Print media, television, and radio, even this new World Wide Web! All tools for suppressing and coercing the masses."	The Chairman, Mystery Comics Vol. 2 #259	1	Rook City Renegades	Rook City
Rook City	Street Gang	9	-	Thug	When this card is destroyed, destroy 1 Item card. END PHASE This card deals each target other than itself 1 projectile damage and 1 melee damage.	"Looks like the Venom Demons are recruiting again. Where do these punks come up with this stuff?"	Expatriette, Rook City Renegades #47	2	Rook City Renegades	Rook City
Rook City	Thiago Diaz	4	-	Bystander	When this card would be dealt damage, you may redirect that damage to a Hero target. When this card is destroyed, each Hero target deals itself 3 fixed psychic damage. END PHASE 1 Hero may use 1 power.	"You can't give up! I know things look bad, but even in the face of the worst danger, you stand for what's right. That's what makes you heroes."	Thiago Diaz, Mystery Comics Vol. 2 #250	1	Rook City Renegades	Rook City
Rook City	Tony Taurus	6	-	Bystander	When this card would be dealt damage, you may redirect that damage to a Hero target. When this card is destroyed, each Hero discards 1 card. END PHASE 1 Hero may discard 1 card. If they do, destroy 1 Ongoing card.	"This is a business transaction: you're gonna tell me what I want to know. I'm going to not commit any unnecessary violence. Sound good?"	Tony Taurus, Mystery Comics Vol. 1 #304	1	Rook City Renegades	Rook City
Rook City	Urban Blight	-	-	Ongoing	After this card is played, discover 1 Smear card. END PHASE Each Hero character deals themself X fixed psychic damage, where X is the number of Smear cards in play.	"You think anyone notices when someone goes missing? People disappear every day. This city can swallow a soul without a trace. I'm just here to help."	Spite, Mystery Comics Vol. 2 #252	2	Rook City Renegades	Rook City
The Ruins of Atlantis	Atlantean Font of Power	-	-	Ongoing	START PHASE Each Hero may discard 1 card. If each active Hero does so, destroy this card. END PHASE Play the top card of the Villain deck. Play the top card of each Hero deck in turn order.	"This vessel houses a spirit of judgment. It has been called to a higher purpose. No mortal weakness remains."	Fanatic, Tome of the Bizarre Vol. 3 #200	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	The Crucible	-	-	Ongoing	After this card is played, put the top card of each deck under it. END PHASE Randomly select 1 card under this card. Each target associated with that card's deck deals itself 3 fixed psychic damage. Then, play the selected card.	"We may not have meant to take on these tests, but it seems there is no turning back now."	Haka, The Savage Haka #232	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Flailing Kraken Limb	9	-	Appendage	END PHASE This card deals the non-Environment target with the lowest HP 5 melee damage.	"Stop trembling, you weak-willed fools! There are no remaining living creatures here. Just old abandoned ruins."	Field Marshal Tamar, Justice Comics #385	3	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Hallway Collapse	-	-	One-Shot	Each target deals itself 2 fixed melee damage. Destroy 1 Environment card.	"Blade is getting away! But if I let go of these rocks, this whole place could come down!"	Legacy, Moonfall #6	2	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Leaking Room	-	-	Ongoing	-1 to all damage dealt. START PHASE 1 Hero may discard 1 Item card. If they do, destroy this card. END PHASE Each Hero discards 1 card. Discard the top card of the Villain deck.	"You think of that stick as the source of your powers, but I tell you: it is a cage. You are enslaved by it. Cast it away."	Apostate, Tome of the Bizarre Vol. 3 #200	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Mystically Defended Hall	-	-	Ongoing	After this card is played, destroy all Environment targets in play. START PHASE 1 Hero may discard 2 Ongoing cards. If they do, destroy this card. END PHASE Destroy 1 Villain Ongoing card. Destroy 1 Hero Ongoing card.	"I have never more plainly felt the warding presence of magic. Whoever left these here meant them as an undeniable warning: do not enter."	The Argent Adept, Prime Wardens Vol. 2 #3	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Phosphorescent Chamber	-	-	Ongoing	+1 to all damage dealt. +1 to all HP recovery. START PHASE Each Hero may discard 1 card. If each active Hero does so, destroy this card.	"The marine plant-life growing here... It has properties unlike anything I have seen on any planet. It is undoubtedly aware of our presence."	Tempest, Prime Wardens Vol. 2 #3	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	The Pillars of Hercules	-	-	Ongoing	Heroes may play 1 additional card during their PLAY PHASE, use 1 additional power during their POWER PHASE, and draw 1 additional card during their DRAW PHASE. START PHASE Play the top 2 cards of the Villain deck.	"You understand so little of what you cannot see. I have mastered this mystical location with the power of science!"	Baron Blade, Moonfall #6	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Ravenous Kraken Maw	13	-	Beak	-1 damage dealt to this card. END PHASE This card deals the non-Environment target with the highest HP 3 melee damage and 3 toxic damage.	"Steady on, big fellow. No need for all this ruckus. And I'd just as soon not be your supper today."	Captain Cosmic, Arcane Tales Vol. 2 #75	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Ritual Sanctum	-	-	Ongoing	After any Hero deals fire, cold, lightning, infernal, or radiant damage, add 1 token to this card. END PHASE If there are at least 10 tokens on this card, each Hero draws 3 cards and uses 1 power. Then, destroy this card.	"The power here is yearning to be released. In my experience, that is rarely a good sign. But, then, nothing ventured, nothing gained!"	The Scholar, Tome of the Bizarre Vol. 2 #8	1	Core Game	Ruins of Atlantis, The
The Ruins of Atlantis	Subaquatic Exploration	-	-	One-Shot	Discover 2 Ongoing cards. Each Hero draws 1 card.	"If I hadn't been inside, I wouldn't believe it. Just looks like a bunch of broken buildings out here. No way there's that much preserved space."	Bunker, Freedom Five #529	2	Core Game	Ruins of Atlantis, The
The Temple of Zhu Long	Apprentice Poisoner	4	-	Disciple	END PHASE This card deals the 3 non-Environment targets with the lowest HP 1 toxic damage each. Until the Environment START PHASE, -1 damage dealt by targets dealt damage this way.	"The toxins do more than taint my blood! I cannot raise a hand against Zhu Long so long as they run through my system."	The Operative, Master Dragon One-Shot	2	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Mysterious Ceremonies	-	-	Ongoing, Ritual	START PHASE Reveal the top card of the Environment deck. If it is a target, discard it. Otherwise, play it. END PHASE 1 Hero may shuffle their trash into their deck, draw 3 cards, or play 1 card. Then, 1 Hero may discard 3 cards. If they do, destroy 1 Ritual card.	"This magic does not follow the paths I am used to. It is not of nature, nor of blood, nor of the Void. It seems a discipline far... older."	NightMist, Arcane Tales Vol. 2 #538	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Oni Berserker	8	-	Disciple	END PHASE This card deals the 2 non-Environment targets with the highest HP 3 melee damage each. Then, this card deals itself and each non-Environment target 1 infernal damage.	"Oh geeze! Uh, watch out, everyone! These guys are strong. And they're real mad, too!"	Setback, Dark Watch Vol. 1 #14	2	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Pool of Revival	-	-	Ongoing, Ritual	END PHASE The Heroes may flip an incapacitated Hero character card, restore it to 8 HP, then shuffle and return all of that Hero's deck to the game. If they do, that Hero draws 2 cards, each other Hero discards 2 cards, then destroy this card.	"Your friend? I know who you speak of, but I don't know that I could call him your friend. Does he recognize you at all?"	Zhu Long, Dark Watch Vol. 1 #2	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Resurrection Rites	-	-	Ongoing, Ritual	After a non-character Villain target is destroyed, put it under this card. END PHASE If a Dragon Master card is in play, randomly select 1 card from under this card and play it.	"The Dragon Master invests in measures of life and death, but he keeps his thumb on the scale."	Mr. Fixer, Tome of the Bizarre Vol. 3 #4	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Service of Service	-	-	Ongoing, Ritual	END PHASE The non-Environment target with the lowest HP deals the (H) minus 2 non-Environment targets with the highest HP 2 melee damage each.	"That creep picked the wrong weak-willed fool to take advantage of today. He's going down."	Expatriette, Dark Watch Vol. 1 #4	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Shinobi Assassin	4	-	Suddenly!, Disciple	After this card is played, it deals the non-Environment target with the lowest HP 2 melee damage. When this card would be destroyed, move it to the top of an active Hero's deck instead. END PHASE This card deals the non-Environment target with the second lowest HP 2 melee damage.	"Hold. I don't hear anything."	Mr. Fixer, Dark Watch Vol. 1 #16	3	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Temple Trials	-	-	Ongoing, Ritual	After this card is played, put the top card of each Hero deck under this card. END PHASE Reveal the top card of the Villain deck. If it is a target, play it. Otherwise, discard it and destroy 1 card from under this card. Then, if there are no cards under this card, play the top card of each Hero deck in turn order. Then, destroy this card.	"Even with the vast powers we each command, we cannot merely overwhelm the capacity of Zhu Long. We must find another way!"	The Argent Adept, Arcane Tales Vol. 2 #539	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	The True Form	13	Mr. Fixer	Dragon Master	After Zhu Long is played, bury this card. After a target is destroyed by damage dealt by this card, play the top card of the Environment deck. END PHASE This card deals the target other than itself with the second highest HP 3 radiant damage and 3 toxic damage.	"You know the old saying, appearances can be deceiving? Sometimes, appearances are all you need to know to understand the truth."	The Scholar, Tome of the Bizarre Vol. 2 #140	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Unbreakable Bargain	-	-	Ongoing, Ritual	After this card is played, each Villain character card regains (H) HP. Then, the (H) Villain targets with the lowest HP each regain (H) HP. -1 damage dealt to Environment targets.	"Calm yourself, Mr. Pike. We had a deal. Payment is required, and lo, it has already been collected."	Zhu Long, Mystery Comics Vol. 2 #289	1	Rook City Renegades	Temple of Zhu Long, The
The Temple of Zhu Long	Zhu Long	9	Mr. Fixer	Dragon Master	After The True Form is played, destroy all Ritual cards and bury this card. When this card is destroyed, discover The True Form. END PHASE Discover 1 Ritual card.	"He's some sort of ancient wizard. Prides himself on being enigmatic and unreadable. It's all quite an act, but there's no denying his power."	The Chairman, Mystery Comics Vol. 2 #243	1	Rook City Renegades	Temple of Zhu Long, The
Wagner Mars Base	Biosphere	-	-	Ongoing, Dome	After this card is played, each Hero target regains 1 HP. START PHASE 1 Hero may discard 1 Item card. If they do, they play 1 card.	"You're probably thinking you've got me fooled. Maybe. But maybe I've got you right where I want you..."	Chrono-Ranger, Temporal Targets #3	1	Core Game	Wagner Mars Base
Wagner Mars Base	Decompression Protocol	-	-	Ongoing	All targets are immune to damage. On each Hero's START PHASE, that Hero may skip to their DRAW PHASE. If they do, destroy this card. START PHASE If there are 2 or more Dome cards in play, destroy this card.	"And there we are. The lock down. Right on schedule."	Ambuscade, Freedom Five #714	1	Core Game	Wagner Mars Base
Wagner Mars Base	Hangar Bay	-	-	Ongoing, Dome	When this card is destroyed, each target deals itself 1 fixed psychic damage. START PHASE 1 Hero may discard 1 Item card. If they do, that Hero collects 1 card.	"No time to talk; everyone into the ship! I mean, I have plenty of time to talk, but you all need to get moving!"	Tachyon, Freedom Five #715	1	Core Game	Wagner Mars Base
Wagner Mars Base	Living Quarters	-	-	Ongoing, Dome	After this card is played, each Hero may draw 1 card. START PHASE 1 Hero may discard 1 Ongoing card. If they do, they draw 2 cards.	"The Wagner Mars Base has every amenity the modern space man could hope for, providing comfort while hard at work on the Red Planet!"	Jane Wagner, Justice Comics #243	1	Core Game	Wagner Mars Base
Wagner Mars Base	Medical Bay	-	-	Ongoing, Dome	+1 to all HP recovery. START PHASE 1 Hero may discard 1 Ongoing card. If they do, 1 Hero target regains 3 HP.	"Give me the bad news, Dr. Bortnik. I know I've got this space pox or whatever it is you're calling it. But can it be cured?"	The Visionary, Cosmic Tales Vol. 2 # 197	1	Core Game	Wagner Mars Base
Wagner Mars Base	Meteor Strike	-	-	One-Shot	Destroy 1 Villain Ongoing card, 1 Hero Ongoing card, and 1 Environment Ongoing card. Destroy 1 Dome card.	"This is why we always have a back-up. Get the secondary gene-binding facility online, and start building another!"	Grand Warlord Voss, Cosmic Tales Vol. 2 #203	2	Core Game	Wagner Mars Base
Wagner Mars Base	Oxygen Leak	-	-	One-Shot	The 3 targets with the highest HP deal themselves 3 fixed toxic damage each. Destroy 1 Dome card.	"Och, this is not how I thought I'd go out. A damn shame."	K.N.Y.F.E., Cosmic Tales Vol. 2 #309	2	Core Game	Wagner Mars Base
Wagner Mars Base	Power and Engineering	-	-	Ongoing, Dome	When this card is destroyed, also destroy 1 other Dome card. START PHASE 1 Hero may discard 1 card. If they do, play 1 Dome card from the Environment trash.	"Careful, team! If something goes wrong in here, the chain reaction will be catastrophic!"	Legacy, Freedom Five #264	1	Core Game	Wagner Mars Base
Wagner Mars Base	Red Dust Storm	-	-	One-Shot	Destroy (H) minus 1 Item cards. Destroy 1 Dome card.	"For you, your guns are offline. That's sad and all. My stakes are a bit higher over here."	Absolute Zero, Freedom Five #551	2	Core Game	Wagner Mars Base
Wagner Mars Base	Security Station	-	-	Ongoing, Dome	START PHASE 1 Hero may discard 1 One-Shot card. If they do, they deal 1 target 3 energy damage. END PHASE Reveal the top card of the Environment deck and the Villain deck. Play any revealed Ongoing cards. Discard the other revealed cards.	"Control established. Processes rerouted. Uploading Omnitron code to mainframe now."	Omnitron, Singularity #5	1	Core Game	Wagner Mars Base
Wagner Mars Base	Self-Destruct Sequence	-	-	Ongoing	On each Hero's START PHASE, that Hero may skip to their POWER PHASE. After a Hero does so, they put 1 card from their hand under this card. START PHASE If there are 0 cards under this card, the Wagner Mars Base explodes. Game Over. Otherwise, destroy 1 card under this card.	"Hey, whoa, uh, I haven't completed my certification on self-destruction sequences yet. Anyone have a manual for this thing?"	Benchmark, RevoCorp Presents #17	1	Core Game	Wagner Mars Base
Wagner Mars Base	Space Science Lab	-	-	Ongoing, Dome	+1 to all salvaging. START PHASE 1 Hero may discard 1 One-Shot card. If they do, they discover 1 Item or Ongoing card.	"It somehow survived on that blasted rock of a world. Maybe we could use it to solve world hunger? Something good, certainly."	Captain Cosmic, Cosmic Tales Vol. 2 #146	1	Core Game	Wagner Mars Base
