Deck	Title	HP	Keywords	Game Text	Flavor Text	Attribution	Qty	Set	Decks: 18
Expatriette	Lock and Load	-	One-Shot	Summon 1 Gun card. Shuffle your trash into your deck. Discover X Ammo cards, where X is the number of Gun cards in play. 1 ally Hero may play the top card of their deck.	"Looks like they've got us surrounded. In our own safehouse. Where we keep all our stuff. I hate to say it, but I like our odds."	Setback, Terminal Ballistics #50	3	Rook City Renegades	Expatriette
Expatriette	Modified SMG	-	Item, Gun, Limited	POWER: Either play 1 Ammo card or draw 1 card. You may activate LOADED on 1 Ammo card in play. Expatriette deals each non-Hero target 1 projectile damage. Then, destroy the activated Ammo card.	"I'm not worried about wasting bullets here -- I'm worried that I'll run out of targets."	Expatriette, Rook City Renegades #162	2	Rook City Renegades	Expatriette
Expatriette	Pride and Prejudice	-	Item, Gun, Limited	POWER: You may activate LOADED on 1 Ammo card in play. Expatriette deals 1 target 2 projectile damage. Destroy the activated Ammo card. You may activate LOADED on 1 Ammo card in play. Expatriette deals 1 target 2 projectile damage. Destroy the activated Ammo card.	"Pride, because you clearly think pretty highly of yourself. And, Prejudice, well, let's just say you've got something of a chip on your shoulder."	Girder, Rook City Renegades #15	2	Rook City Renegades	Expatriette
Expatriette	Shock Rounds	-	Item, Ammo	LOADED * Change the damage type to lightning. * After a target is dealt damage with this power, if that target has 3 or fewer HP, destroy it.	"You think all that hardware you're packing these days makes you strong? Hardly. It's what makes you vulnerable."	Expatriette, Rook City Renegades #187	2	Rook City Renegades	Expatriette
Expatriette	Targeted Explosion	-	One-Shot	Destroy 1 Ongoing or Environment card. Expatriette deals up to 3 targets 2 fire damage each.	"That doesn't sound like one of the normal lab explosions... What is going on down there?"	Chairman Pike, Rook City Renegades #68	3	Rook City Renegades	Expatriette
Expatriette	Thermite Rounds	-	Item, Ammo	LOADED * Change the damage type to fire. * +1 damage dealt with this power. * Damage dealt with this power is irreducible.	"My magics alone cannot undo this abomination, but with this Jotunn's Bane incantation, your fiery rounds may find a more vulnerable target."	NightMist, Tome of the Bizarre Vol. 3 #50	2	Rook City Renegades	Expatriette
Fanatic	Absolution	-	Item, Relic, Limited	POWER: Fanatic deals 1 target 3 melee damage. Then, if Fanatic is at 10 or fewer HP, Fanatic deals 1 target 2 fire damage and 2 radiant damage.	"Absolution you are called, and absolution you shall deliver."	Fanatic, Absolution #1	2	Core Game	Fanatic
Fanatic	Aegis of Resurrection	-	Item, Relic, Limited	When Fanatic would be reduced to 0 HP, prevent that damage and destroy this card. When this card is destroyed, Fanatic regains 10 HP.	"No mere mortal wound can destroy the form of God's chosen."	Fanatic, Absolution #10	2	Core Game	Fanatic
Fanatic	Anoint Allies	-	Ongoing	+1 damage dealt by your allies. If Fanatic has 10 or fewer HP, +1 damage dealt by Fanatic. START PHASE Either destroy this card or Fanatic deals herself 3 fixed psychic damage.	"The faith practices of you humans are so unlike those of Maerynians, yet I still appreciate your blessing."	Tempest, Prime Wardens Vol. 1 #87	2	Core Game	Fanatic
Fanatic	Brutal Censure	-	Ongoing	After this card is played, select a non-character target. That card has no game text. START PHASE Either destroy this card or Fanatic deals herself 3 fixed psychic damage.	"Know the error of thine ways."	Fanatic, Absolution #6	2	Core Game	Fanatic
Fanatic	Consecrated Ground	-	One-Shot	Destroy 1 Ongoing card. Fanatic deals up to 3 targets 1 radiant damage each.	"Your dark rituals have no sway in this holy place."	Fanatic, Fanatic Vol. 1 #5	3	Core Game	Fanatic
Fanatic	Divine Sacrifice	-	One-Shot	Fanatic deals herself up to 3 radiant damage. Fanatic deals X targets 3 radiant damage each, where X is the amount of damage dealt to Fanatic this turn.	"Face me and tremble!"	Fanatic, Mystery Comics Vol. 2 #369	2	Core Game	Fanatic
Fanatic	End of Days	-	Ongoing	START PHASE Destroy all cards other than this card, character cards, and Relic cards. Then, destroy this card.	"The blight upon this land be cleansed!"	Fanatic, Absolution #9	2	Core Game	Fanatic
Fanatic	Final Dive	-	One-Shot	Destroy 1 non-character target with 4 or fewer HP. Fanatic deals 1 target X projectile damage, where X is the destroyed target's HP before it was destroyed.	"Meet thy maker."	Fanatic, Tome of the Bizarre Vol. 3 #9	3	Core Game	Fanatic
Fanatic	Holy Nova	-	One-Shot	Fanatic deals each non-Hero target 1 radiant damage. Each Hero target regains 1 HP. Then, if Fanatic has 10 or fewer HP, Fanatic deals up to 3 targets 2 radiant damage each.	"You can hide in the sun 'til you see the light."	Apostate, Mystery Comics Vol. 2 #366	3	Core Game	Fanatic
Fanatic	Prayer of Desperation	-	One-Shot	Reveal the top 4 cards of your deck. Put any Item or Ongoing cards revealed this way in your hand. Discard the other revealed cards. Then, if Fanatic has 10 or fewer HP, play up to 2 cards.	"Let this not be the last breath your servant draws."	Fanatic, Prime Wardens Vol. 1 #152	4	Core Game	Fanatic
Fanatic	Righteous Rebuke	-	Ongoing, Limited	POWER: Fanatic deals 1 target 2 radiant damage. Then, if Fanatic has 10 or fewer HP, Fanatic deals up to 3 targets 2 radiant damage each and regains 2 HP.	"The prayers and rituals of believer have ne'er wracked my body with such pain before!"	Blood Countess, Fanatic Vol. 1 #9	2	Core Game	Fanatic
Fanatic	Rosary of the Mysteries	-	Item, Relic, Limited	POWER: Shuffle your trash into your deck. Discard 5 cards. Draw 5 cards. Then, if Fanatic has 10 or fewer HP, Fanatic regains up to 5 HP.	"Ah! Connecting to a spiritual realm using an artifact of power! Not much of a musical instrument though."	The Argent Adept, Prime Wardens Vol. 1 #129	2	Core Game	Fanatic
Fanatic	Sacrosanct Martyr	-	Ongoing, Limited	POWER: Fanatic deals herself up to 3 radiant damage. Fanatic deals 1 target X radiant damage, where X is the amount of damage dealt to Fanatic this turn.	"What you call a sacrifice, I consider a necessity."	Fanatic, Mystery Comics Vol. 1 #338	2	Core Game	Fanatic
Fanatic	Sanctifying Strike	-	One-Shot	Fanatic deals 1 target 2 melee damage. Draw 1 card. Fanatic regains 2 HP.	"The evil influence of this man has been lessened. The wounds he caused can begin to heal."	Haka, Prime Wardens Vol. 1 #179	3	Core Game	Fanatic
Fanatic	Smite the Transgressor	-	One-Shot	Fanatic deals 1 target 2 melee damage. Then, if Fanatic has 10 or fewer HP, use up to 2 powers.	"I am usually one to call for restraint, but now is hardly one of those times."	Captain Cosmic, Prime Wardens Vol. 2 #58	3	Core Game	Fanatic
Fanatic	Undaunted	-	Ongoing, Limited	Whenever exactly 1 damage would be dealt to Fanatic, -1 to that damage. If Fanatic has 10 or fewer HP and would be dealt 5 or more damage, -3 to that damage.	"You took on nine gods by yourself. Will you not even take a moment to rest?!"	Ra, Baptism By Fire #5	2	Core Game	Fanatic
Fanatic	Wrathful Retribution	-	Ongoing	START PHASE Fanatic deals 1 target X radiant damage, where X is Fanatic's maximum HP minus her current HP. Then, bury this card.	"You have been judged and found sorely wanting. Perish!"	Fanatic, Absolution #10	1	Core Game	Fanatic
Haka	Dance in the Fray	-	Ongoing, Limited	After any of your Ongoing cards are destroyed, Haka deals 1 target 2 melee damage. POWER: Draw 1 card. Play 1 card.	"His boundless energy... almost as if he draws strength and vitality from beyond his own realm."	La Capitan, The Savage Haka #268	3	Core Game	Haka
Haka	Haka of Battle	-	Ongoing, Haka	+1 damage dealt by Haka. START PHASE Discard any number of cards. Haka deals 1 target X melee damage, where X is the number of cards discarded this way plus 2. Then, destroy this card.	"Ka mate ka mate! Ka ora' ka ora'! Ka mate ka mate! Ka ora' ka ora'!"	Haka, Prime Wardens Vol. 1 #97	4	Core Game	Haka
Haka	Haka of Frenzy	-	Ongoing, Haka	Damage dealt by Haka is irreducible. START PHASE Discard any number of cards. Haka deals X targets 3 melee damage each, where X is the number of cards discarded this way plus 1. Then, destroy this card.	"Some prepare for battle in quiet contemplation or prayer. Aata finds his strength in exultant expression."	Tempest, Prime Wardens Vol. 1 #1	4	Core Game	Haka
Haka	Haka of Recovery	-	Ongoing, Haka	-1 damage dealt to Haka. START PHASE Discard any number of cards. Haka regains X HP, where X is the number of cards discarded this way times 2. Then, destroy this card.	"I know not how you do what you do, my friend, but I cannot deny the power in your songs and chants."	The Argent Adept, Prime Wardens Vol. 1 #14	4	Core Game	Haka
Haka	Knock Heads	-	Ongoing	After this card is played, Haka deals up to 2 targets 2 melee damage each. -1 damage dealt by those targets. START PHASE Destroy this card.	"I could have sworn he was right here. How could such a huge man have escaped my sight?"	Desert Eagle, Freedom Five Annual #11	3	Core Game	Haka
Haka	Mere	-	Item, Limited	POWER: Haka deals 1 target 3 melee damage. Draw 1 card.	"This club is as much me as my fist or my leg. Let me show you!"	Haka, Battle Unending #1	3	Core Game	Haka
Haka	Rampage	-	One-Shot	Haka deals each non-Hero target 5 melee damage and each Hero target 2 melee damage. Whenever Haka destroys a target with this damage, draw 1 card.	"I share no love for these robotic nuisances... but that was a bit much."	Ra, Singularity #5	3	Core Game	Haka
Haka	Sudden Utu	-	Ongoing, Limited	REACTION: Haka deals the attacker 2 melee damage.	"You are not nearly as fearsome as your namesake."	Haka, Battle Unending #8	2	Core Game	Haka
Haka	Surge of Ihi	-	One-Shot	Haka deals 1 target 2 melee damage. Draw 2 cards.	"True might comes from faith. I cannot ignore your strength, large man. But do not think it enough!"	Fanatic, Tome of the Bizarre Vol. 2 #200	3	Core Game	Haka
Haka	Ta Moko	-	Ongoing, Limited	-1 damage dealt to Haka. DRAW PHASE You may draw 1 additional card this phase.	"These markings I wear on my face? I did them myself. With a sharp stick and snake venom. Your threats mean nothing to me."	Haka, Arcane Tales Vol. 1 #14	3	Core Game	Haka
Haka	Taiaha	-	Item, Limited	POWER: Haka deal up to 2 targets 3 melee damage each. START PHASE You may destroy 1 Ongoing card. If you do, destroy this card.	"Using the taiaha is all about balance. It also helps to be stronger than everyone else."	Haka, The Savage Haka #1	3	Core Game	Haka
Haka	Taonga Mana	-	Ongoing, Limited	After Haka destroys any non-Hero target, draw 1 card. START PHASE You may draw 3 cards. If you do, destroy this card.	"I have oft remarked upon your 'gentle giant' nature. I appreciate your ability to drop the 'gentle' part, at times."	Captain Cosmic, Prime Wardens Vol. 1 #160	2	Core Game	Haka
Haka	Tiaki Defender	-	Ongoing, Limited	Whenever an ally would be dealt damage by a non-Hero target, you may redirect that damage to Haka. START PHASE Destroy this card.	"You've always inspired me to be a better hero. And now I owe you my life as well. Thank you, old friend."	Legacy, Vengeance #5	3	Core Game	Haka
The Harpy	Arcane Explosion	-	One-Shot	The Harpy deals up to 5 targets 3 infernal damage each. If there are no Flock cards in play, you may draw 1 card or play 1 Ongoing card.	"Everything the magic can touch, it can burn. And magic touches everything."	The Harpy, Dark Watch Vol. 1 #51	3	Rook City Renegades	Harpy, The
The Harpy	Avian Aid	-	One-Shot	Discover 1 Flock card. Either summon 1 Cohort card or summon The Mask of Sky and Shroud.	"They have been with you all along-- dual aspects of your personality and your power."	The Scholar, Tome of the Bizarre Vol. 4 #5	4	Rook City Renegades	Harpy, The
The Harpy	Boil of Hawks	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE The Harpy deals up to 3 targets 2 projectile damage each.	"Your furious flock of fowl tears hungrily at my creations. Good, good... Exactly as I'd anticipated."	Biomancer, Vengeance Returned #3	2	Rook City Renegades	Harpy, The
The Harpy	Chatter of Starlings	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE The Harpy deals each non-Hero target 1 sonic damage.	"I told you a bunch of very loud birds could be useful! Just gotta find the right application!"	Setback, Dark Watch Vol. 1 #142	2	Rook City Renegades	Harpy, The
The Harpy	Eldritch Training	-	Ongoing, Limited	After this card is played, you may draw 1 card or play 1 card. END PHASE Either draw 2 cards or destroy 1 Flock card.	"No, you can't use the mask. You don't need it. But it needs you. Who is in charge here?"	NightMist, Dark Watch Vol. 1 #7	2	Rook City Renegades	Harpy, The
The Harpy	The Flock's Care	-	Ongoing, Limited	After a Flock card is destroyed, 1 Hero target regains 1 HP. POWER: Destroy up to 3 Flock cards. Discover 1 Flock card.	"She now moves with a confidence born of experience and uprightness."	Mr. Fixer, Dark Watch Vol. 2 #23	2	Rook City Renegades	Harpy, The
The Harpy	Harpy Hex	-	Ongoing, Limited	After a Flock card is destroyed, The Harpy deals 1 target 2 infernal damage. END PHASE You may discover 1 Flock card.	"You must learn to control your power, Lillian. Or else it will control you."	NightMist, Dark Watch Vol. 1 #65	2	Rook City Renegades	Harpy, The
The Harpy	Huginn the Wise	8	Cohort	START PHASE 1 Hero target regains 2 HP. END PHASE Either draw 2 cards or play 1 card.	"It's honestly bonkers to me that your bird is straight-up magical. How does any of this work?"	Tachyon, Freedom Five #583	1	Rook City Renegades	Harpy, The
The Harpy	Lash of the Elements	-	One-Shot	The Harpy deals 1 target 1 irreducible cold damage, 1 irreducible fire damage, and 1 irreducible lightning damage. If there are no Flock cards in play, you may draw 1 card or play 1 Ongoing card.	"I hold sway over the very elements of existence, and you shall suffer-- Ah, I seem to have gotten your attention."	The Harpy, Freedom Five Annual #29	3	Rook City Renegades	Harpy, The
The Harpy	Losing Focus	-	Suddenly!, One-Shot	Shuffle your trash into your deck. The Harpy deals herself 1 fixed psychic damage. Discover 1 Flock card.	"I must persevere. They're depending on me to finish this, no matter the cost."	The Harpy, Tome of the Bizarre Vol. 4 #77	2	Rook City Renegades	Harpy, The
The Harpy	Magical Bequest	-	Ongoing, Limited	POWER: Destroy 1 Flock card. Then, either collect 1 Ongoing card, destroy 1 Ongoing card, or play 1 Ongoing card. END PHASE You may destroy all Flock cards in play. If you do, destroy this card.	"Thank you, my friend and mentor. I only wish I could have done more to aid you."	The Harpy, Dark Watch Vol. 2 #24	3	Rook City Renegades	Harpy, The
The Harpy	The Mask of Sky and Shroud	-	Item, Relic, Limited	Flock cards gain the keyword "Suddenly!". POWER: Draw up to 5 cards.	"The lines of pow'r alight through threads and plume, yet all lead thus: to terror and to doom!"	The Morrigan, Dark Watch Vol. 1 #42	3	Rook City Renegades	Harpy, The
The Harpy	Mischief of Magpies	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE Up to 2 Heroes each draw 1 card.	"You think, dear child, to steal from me and mine? The Court of Fey shall take of thee and thine!"	The Dagda, Dark Watch Vol. 1 #49	2	Rook City Renegades	Harpy, The
The Harpy	Muninn the Scarred	8	Cohort	START PHASE You may destroy 1 Hero Ongoing card. END PHASE This card deals up to 2 targets 3 projectile damage each.	"I'm not much of a bird person, but there's something about this one. It's got grit. I don't know, maybe I'm projecting."	Expatriette, Dark Watch Vol. 1 #97	1	Rook City Renegades	Harpy, The
The Harpy	Reservoirs of Power	-	Ongoing, Limited	POWER: The Harpy deals up to 3 targets 1 infernal damage each. If at least 1 Hero target is dealt damage this way, play 1 card. DRAW PHASE You may draw 1 additional card this phase.	"You see how these feckless mortals shy away from your power? They are beneath you!	Blood Countess, Mystery Comics Vol. 2 #326	3	Rook City Renegades	Harpy, The
The Harpy	Siege of Herons	-	Ongoing, Flock	START PHASE Discard 2 cards. Then, if you have no cards in hand, The Harpy deals herself 2 fixed psychic damage and destroy this card. END PHASE The Harpy deals 1 target 3 projectile damage.	"Not just ravens and crows! Not just corvids, either! My avian allies number in the billions!"	The Harpy, Tome of the Bizarre Vol. 4 #76	2	Rook City Renegades	Harpy, The
The Harpy	Uncontrollable Flock	-	One-Shot	Shuffle your trash into your deck. Discover 1 Flock card. You may discover 1 Flock card. If you do, discover 1 Flock card. The Harpy deals X targets 1 irreducible projectile damage each, where X is the number of Flock cards in play.	"This portal is not for you. You may be right about the chaos inside me, but it is my chaos!"	The Harpy, Tome of the Bizarre Vol. 4 #78	3	Rook City Renegades	Harpy, The
Legacy	Bolster Allies	-	One-Shot	Each Hero draws 1 card. 1 Hero other than you plays 1 card.	"We fight this day... for freedom!"	Legacy, Freedom Five Annual #8	3	Core Game	Legacy
Legacy	Bulletproof Skin	-	Ongoing, Limited	-1 damage dealt to Legacy.	"He told me everything would be fine as the gunmen opened fire. And the bullets just ricocheted right off him!"	An Innocent Bystander, Freedom Four #89	4	Core Game	Legacy
Legacy	Danger Sense	-	Ongoing, Limited	Legacy is immune to damage dealt by Environment targets. POWER: Bury 1 Environment target in play. Destroy this card.	"Too close! Too close for comfort."	Legacy, Justice Comics #98	2	Core Game	Legacy
Legacy	Dauntless Durability	-	Ongoing, Limited	Whenever Legacy would be dealt 5 or more damage, prevent that damage and destroy this card. When this card is destroyed, Legacy regains 2 HP.	"You have crushed and despoiled your way across the galaxy, but the people of Earth will not be so easily broken!"	Legacy, Justice Comics #261	3	Core Game	Legacy
Legacy	Flying Smash	-	One-Shot	Legacy deals up to 3 targets 3 melee damage each.	"As you can see, we are untouch-- what was that?"	Baron Blade, Moonfall #2	3	Core Game	Legacy
Legacy	Heroic Interception	-	Ongoing	After this card is played, Legacy deals himself 3 fixed melee damage. Your allies are immune to damage. START PHASE Destroy this card.	"Don't forget to calculate wind-speed and make sure you're approaching the projectile at the optimal angle to prevent-- Oh. He got it. OK."	Tachyon, Freedom Five Annual #12	2	Core Game	Legacy
Legacy	Inspiring Presence	-	Ongoing, Limited	After this card is played, each ally regains 1 HP. +1 damage dealt by ally characters.	"For freedom, for liberty, for justice... for America!"	Legacy, Legacy Independence Day Spectacular	3	Core Game	Legacy
Legacy	Keen Vision	-	Ongoing	POWER: Reveal and replace the top card of 1 deck. If that deck belongs to an ally, they may draw 1 card or use 1 power.	"The truest sight is not of what's coming up over the horizon, but what's deep inside a person."	Absolute Zero, Freedom Five #443	2	Core Game	Legacy
Legacy	Lead from the Front	-	Ongoing, Limited	Whenever an ally would be dealt damage by a Villain target, you may redirect that damage to Legacy.	"I'd much rather follow a leader than follow orders."	Bunker, Freedom Five #501	2	Core Game	Legacy
Legacy	The Legacy Ring	-	Item, Limited	POWER PHASE You may use 1 additional power this phase.	"And now, just like the ring says, you too will be furthering your father's legacy."	Legacy, America's Finest Legacy #499	3	Core Game	Legacy
Legacy	Motivational Charge	-	Ongoing, Limited	POWER: Legacy deals 1 target 3 melee damage. Then, each of your allies regains 1 HP.	"About time. I was even starting to miss your idea of jokes!"	The Wraith, Freedom Five #209	2	Core Game	Legacy
Legacy	The Ol' One-Two	-	One-Shot	Legacy deals 1 target 2 melee damage. Play 1 card.	"Square up, iron-chin! There's plenty of American spirit to go around!"	Legacy, Justice Comics #102	3	Core Game	Legacy
Legacy	Take Down	-	Ongoing, Limited	When a Villain card would be played, you may discard that card instead. If you do, the Villain target with the highest HP deals Legacy 2 energy damage. Then, destroy this card.	"Your injustices end here!"	Legacy, America's Finest Legacy #128	2	Core Game	Legacy
Legacy	"Thokk!"	-	One-Shot	Legacy deals 1 target 5 melee damage.	"It's like looking into a mirror... but you're a poor reflection of the real thing!"	Legacy, America's Finest Legacy #224	3	Core Game	Legacy
Legacy	A True Hero	-	One-Shot	Draw 2 cards. Each of your allies regains 1 HP.	"You all have what it takes to be a true hero, each and every day."	Legacy, Legacy Independence Day Spectacular	3	Core Game	Legacy
Mr. Fixer	Alternating Tiger Claw	-	Ongoing, Style	After this card is played, destroy all other Style cards. Damage dealt by Mr. Fixer is irreducible. REACTION: Mr. Fixer deals 1 target 2 melee damage.	"Hard, but not rigid. Soft, but with strength. Fast, but without disorder."	Master Shuen Zhang, Mister Fixer One-Shot	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Bloody Knuckles	-	Ongoing, Limited	+2 damage dealt to and by Mr. Fixer. START PHASE Destroy this card.	"Slow down there, Gramps. I'm supposed to be the edgy one. Looks like you could use some of that inner peace you're always going on about."	Expatriette, Rook City Renegades #60	3	Rook City Renegades	Mr. Fixer
Mr. Fixer	Charge	-	One-Shot	Draw 2 cards. Mr. Fixer deals 1 target 4 melee damage.	"You thought you'd play your games on my streets? You picked the wrong player!"	Black Fist, Black Fist: Grandmaster of the Streets #1	3	Rook City Renegades	Mr. Fixer
Mr. Fixer	Driving Mantis	-	Ongoing, Style	After this card is played, destroy all other Style cards. After you use a power, draw 2 cards. REACTION: Use 1 power.	"Learn to accept the world as it is, not as you want it to be. Then, and only then, can you bring about change."	Mr. Fixer, Mister Fixer One-Shot	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Dual Crowbars	-	Item, Tool	After this card is played, destroy all other Tool cards. Then, Mr. Fixer deals up to 2 targets 1 melee damage each. +1 damage dealt by Mr. Fixer. -1 damage dealt to Mr. Fixer.	"Wait, did you say the attacker was carrying crowbars? Seems the old man is done hiding. We're going to need more enforcers."	The Operative, Mystery Comics Vol. 2 #189	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Full Throttle	-	One-Shot	Mr. Fixer deals 1 target 1 melee damage. You may play a Style card or a Tool card. Mr. Fixer deals 1 target 1 melee damage. You may play a Style card or a Tool card.	"Their eyes beg me for mercy. I grant it with my fist."	Mr. Fixer, Dark Watch Vol. 1 #89	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Grease Monkey Fist	-	Ongoing, Style	After this card is played, destroy all other Style cards. After 1 of your cards is destroyed, Mr. Fixer deals 1 target 1 melee damage. REACTION: Discover 1 Item card.	"Fighting and fixing cars aren't all that different. Sometimes you use a wrench as a hammer. Sometimes what starts as a punch, ends as a kick."	Mr. Fixer, Mister Fixer One-Shot	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Harmony	-	Ongoing, Limited	+1 damage dealt by Mr. Fixer if there is a Tool card and a Style card in play. START PHASE You may play 1 Style card or Tool card.	"Your weapon is an extension of your body. Your movements are without flaw. I must admit, you have surpassed even what I am capable of."	The Chairman, Transmission of Honor #6	3	Rook City Renegades	Mr. Fixer
Mr. Fixer	Hoist Chain	-	Item, Tool	After this card is played, destroy all other Tool cards. Then, either destroy 1 Ongoing card or draw 2 cards. After Mr. Fixer deals damage to a non-Hero target, -1 damage dealt by that target until your START PHASE.	"Be careful! That monster could consume what little life force you have left! Don't let him get his hands on you, no matter what."	The Harpy, Dark Watch Vol. 2 #10	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Jack Handle	-	Item, Tool	After this card is played, destroy all other Tool cards. Then, Mr. Fixer deals up to 5 targets 1 melee damage each. Change any game text that says "Mr. Fixer deals 1 target" to "Mr. Fixer deals up to 5 targets".	"A good deal heavier than a traditional bo staff, but I can make it work."	Mr. Fixer, Tome of the Bizarre Vol. 3 #63	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Life Worth Living	-	One-Shot	You may shuffle your trash into your deck. Draw 2 cards. One ally regains 4 HP. If that ally is a Hero, they may use 1 power.	"Like a mountain, unmoving, unshakable. Like the ocean, deep, unfathomable."	NightMist, Freedom Five Annual #15	3	Rook City Renegades	Mr. Fixer
Mr. Fixer	The Manifold Path	-	One-Shot	You may shuffle your trash into your deck. You may discover 1 Style card. You may discover 1 Tool card. Mr. Fixer regains 3 HP.	"I don't know how you keep track of everything you're doing. I get overwhelmed with the idea of fighting with both of my hands!"	Setback, Rook City Renegades #126	3	Rook City Renegades	Mr. Fixer
Mr. Fixer	Overdrive	-	Ongoing, Limited	Whenever Mr. Fixer deals damage, you may choose the type of that damage. END PHASE You may use the power on your character card up to 2 times. If you do so at least once, destroy this card.	"Oh ho! So powerful! I knew you had learned much from your master, but even now you still don't realize the extent of what you could do..."	Zhu Long, Dark Watch Vol. 1 #17	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Riveting Crane	-	Ongoing, Style	After this card is played, destroy all other Style cards. After you discard a card, Mr. Fixer deals 1 target 1 melee damage. REACTION: Discard up to 3 cards.	"Even the mightiest mountain can be overwhelmed by mere drops of water, if the water stays true to its course."	Master Shuen Zhang, Mister Fixer One-Shot	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Tire Iron	-	Item, Tool	After this card is played, destroy all other Tool cards. Then, Mr. Fixer deals 1 target 3 melee damage. After Mr. Fixer deals damage to a target, destroy that target if it has 3 or fewer HP.	"I've fought things like you before. You move like a man and fight like a demon, but, in truth, you have no spirit within you."	Mr. Fixer, Nightmare World #3	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Toolbox	-	Item, Limited	START PHASE Either draw 1 card or collect 1 Style card. END PHASE You may discard 1 card. If you do, collect 1 Item card.	"It's like a memory. If you keep it to yourself, only you know what's in it. Open it and use what's inside? You can learn a lot and get more done."	Mr. Fixer, Mystery Comics Vol. 2 #145	2	Rook City Renegades	Mr. Fixer
Mr. Fixer	Zen Maintenance	-	One-Shot	Salvage any number of Tool and/or Style cards. Collect 1 Tool or Style card. Collect 1 Limited card. You may play 1 card.	"A trip to the junk yard is a journey to the past that makes way for the future."	Mr. Fixer, Transmission of Honor #1	3	Rook City Renegades	Mr. Fixer
NightMist	Amulet of the Elder Gods	-	Item, Relic, Limited	/4\, /4\ +1 to /-\. Whenever NightMist would be dealt infernal damage, you may bury 1 card from your hand. If you do, you may redirect that damage.	"It takes from you more than it gives. If you must use it, do so sparingly. I will no longer be here to pull you from its grasp."	NightMist, Dark Watch Vol. 2 #19	2	Rook City Renegades	NightMist
NightMist	Astral Premonition	-	One-Shot, Spell	/1\, /2\, /4\ Discard the top card of your deck. Reveal and replace the top card of up to /-\ decks. Discard the top card of 1 deck. Play the top card of 1 deck.	"My visions have shown me a winged figure causing great destruction. I can stand idle no longer!"	NightMist, Absolution #18	3	Rook City Renegades	NightMist
NightMist	Call Forth	-	One-Shot, Spell	/2\, /3\, /4\ Summon 1 Item or Relic card from any 1 deck or trash in play. Discard the top card of your deck. NightMist deals herself /-\ infernal damage.	"I hear your summons! I come to both impart and exact."	Tome of Elder Magic, The Curse #5	3	Rook City Renegades	NightMist
NightMist	Coalescing Spirit	-	One-Shot, Spell	/1\, /2\, /3\ Summon 1 Ongoing card from any 1 deck or trash in play. Discard the top card of your deck. NightMist deals herself /-\ infernal damage.	"The blood... It wants more of me. It wants all of me! You have to help me keep control!"	Alpha, Alpha: The Wolf-Woman #43	3	Rook City Renegades	NightMist
NightMist	Droplet of Lethe	-	One-Shot, Spell	/1\, /2\ Discard the top card of your deck. Destroy up to /-\ Ongoing cards.	"I feel the curse lift. Relieving. But there are some things far beyond fixing."	Mr. Fixer, Dark Watch Vol. 1 #52	2	Rook City Renegades	NightMist
NightMist	Essence Transfer	-	One-Shot, Spell	/1\, /1\, /2\ Discard the top card of your deck. NightMist deals 1 target /-\ irreducible infernal damage. 1 other target regains /-\ HP.	"I feared I had fought my last fight... but with this new power, you have me feeling even better than before!"	Legacy, Freedom Five Annual #6	3	Rook City Renegades	NightMist
NightMist	Isolating Mists	-	Ongoing, Spell	/2\, /3\ Whenever a non-Hero card would be played, you may discard 1 card. If you do, discard the non-Hero card instead of playing it, then NightMist deals herself /-\ infernal damage. START PHASE Destroy this card.	"You have been a plague on my family and on this reality for far too long! I cannot allow you to enter this world!"	NightMist, NightMist #22	2	Rook City Renegades	NightMist
NightMist	Master of Magic	-	Ongoing, Limited	/3\, /3\, /3\ After you discard the top card of your deck, you may immediately discard 1 card from hand. END PHASE If you have 3 or fewer cards in your hand, draw cards until you have 4 cards in your hand.	"Life and death. Space and time. Fate and chance. These are the forces of the universe."	NightMist, NightMist #129	3	Rook City Renegades	NightMist
NightMist	Mistform	-	Ongoing, Spell	/1\, /1\, /1\ NightMist is immune to non-infernal damage. START PHASE NightMist regains 3 HP. Then, destroy this card.	"Sure, agents of some ancient magic dragon person have probably seen a lot. They haven't seen anything like this before."	Expatriette, Dark Watch Vol. 1 #4	3	Rook City Renegades	NightMist
